authorId,categoryId ,publisherId,typeId,languageId,name,description,isbn,imageLink,releaseYear,pageCount
2,3,2,2,1,No Longer Human,"No Longer Human is a novel by Osamu Dazai that delves into the dark and introspective journey of a young man named Yozo. Through a series of confessional notes, Yozo reveals his struggles with alienation, self-destructive behavior, and the inability to connect with others.",978-0811204811,https://m.media-amazon.com/images/I/31mY8ZQ+jEL._SY445_SX342_.jpg,1948,271
2,3,3,2,2,Pandora's Box,"Osamu Dazai, one of the leading writers of twentieth-century Japanese literature and famous for his extraordinary life, wrote Pandora's Box three years before his suicide. In the novel, which has autobiographical elements like many of his other works, Dazai holds up a mirror to the individual's depression and search for hope in post-World War II Japan. The Second World War is over and Japan is defeated. A sick and hopeless man must rebuild his life, just as his country was trying to do at the time. In letters to his friend, this young man, nicknamed Larkbird, recounts his days in a sanatorium, where everyone uses pseudonyms, with an interesting community of patients and caregivers. As the days pass, Larkbird will find the courage to hope and his death wish will give way to the will to live.",9786052650493,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1672948932i/75598380.jpg,2023,144
3,3,4,3,1,Norwegian Wood,"When he hears her favourite Beatles song, Toru Watanabe recalls his first love Naoko, the girlfriend of his best friend Kizuki.Immediately he is transported back almost twenty years to his student days in Tokyo, adrift in a world of uneasy friandships, casual sex, passion, loss and desire-to a time when an impetuous yaung woman called Midori marched into his life and he had to choose between the future and the past.",978-0099584353,https://m.media-amazon.com/images/I/81b+vC579WL._SY466_.jpg,2014,389
3,3,4,2,1,Hear the Wind Sing,"In Hear the Wind Sing the narrator is home from college on his summer break. He spends his time drinking beer and smoking in J’s Bar with the Rat, listening to the radio, thinking about writing and the women he has slept with, and pursuing a relationship with a girl with nine fingers.",978-0099590422,https://m.media-amazon.com/images/I/61i0mJ41oNL._SY466_.jpg,2016,176
3,3,4,4,1,1Q84: Books 1 and 2,"The year is 1Q84. This is the real world, there is no doubt about that.  But in this world, there are two moons in the sky. In this world, the fates of two people, Tengo and Aomame, are closely intertwined. They are each, in their own way, doing something very dangerous. And in this world, there seems no way to save them both. Something extraordinary is starting. ",978-0099549062,https://m.media-amazon.com/images/I/41W5RQ7ZqJL._SY445_SX342_.jpg,2012,816
3,2,4,2,1,After Dark,"Eyes mark the shape of the city. The midnight hour approaches in an olmost-empty diner. Mari sips her caffee and reads a book, but soon her solitude is disturbed: a girl has been beaten up at the Alphaville hotel, and needs Mari's help. Meanwhilw Mari's beautiful sister Eri lies in a deep, heavy sleep that is 'too perfect, too pure' to be normal; it has lasted for two mounths. But tonight, as the digital clock displays 00.00, a hint of life flickers across the television screen, even though its plug hasn been pulled out. Strange nocturnal happenings, or a trick of the night?",978-0099520863,https://m.media-amazon.com/images/I/81Bf7HOE6gL._SY466_.jpg,2014,201
4,4,5,5,1,The Red Book: A Reader's Edition (Philemon),"The 2009 widely acclaimed Red Book contains the core of C.G. Here Jung's later works developed his theories that would transform psychotherapy from a treatment of the patient into a tool for the higher development of the personality. As Sara Corbett wrote in the New York Times, ""The creation of one of the true visionaries of modern history, The Red Book is a singular work beyond categorization... it transcends the history of psychoanalysis and highlights Jung's place among such revolutionary thinkers as Marx, Orwell and, of course, Freud.",978-0393089080,https://m.media-amazon.com/images/I/51mhwJ4MnUL._SY466_.jpg,2012,560
4,4,6,4,1,"Memories, Dreams, Reflections","In the spring of 1957, at the age of eighty-one, Carl Gustav Jung undertook to tell his life story. Memories, Dreams, Reflections is a book of conversations with his colleague and friend Aniela Jaffé, as well as chapters and other material written in his own hand. Jung continued to work on the final stages of the manuscript until shortly before his death on June 6, 1961, making it a uniquely comprehensive reflection on an extraordinary life. This fully corrected edition also includes Jung's VII Sermons and Mortuos.",978-0679723950,https://m.media-amazon.com/images/I/71qqgzS+BrL._SY466_.jpg,1989,496
4,4,7,,1,The Undiscovered Self,"One of the world's greatest psychiatrists reveals how to embrace our own humanity and resist the pressures of an ever-changing world. In this challenging and provocative work, Dr. Carl Jung, one of history's greatest minds, argues that the future of civilization depends on our ability as individuals to resist the collective forces of society. Only by gaining an awareness and understanding of one's unconscious mind and one's true, inner nature - the ""undiscovered self"" - can we as individuals acquire self-knowledge that is contrary to ideological fanaticism. But this requires us to confront our fear of the duality of the human psyche - the existence of good and the capacity for evil in each individual. In this seminal book, Jung argues convincingly that only then can we begin to deal with the dangers posed by mass society - the ""sum of individuals"" - and resist the potential threats posed by those in power.",978-0451217325,https://m.media-amazon.com/images/I/81dToEEIs6L._SY466_.jpg,2006,
5,1,8,7,2,VAR MISIN? Güçlü Bir Yaşam İçin Öneriler,"Doğan Cüceloğlu, yalnızca psikoloji kariyeriyle değil, insan hayatına dokunan ve insana dair her hikâyeden şifa çıkarabilen bilgeliğiyle bu coğrafyanın en önemli ilim insanlarından biri. Seksen yılı aşkın ömrünün bir birikimi olarak, şimdi herkesin merak ettiği “hayati” sorulara en samimi cevaplarını sunuyor. Herkes gibi aslında o da hâlâ savaşıyor, keşfediyor, hayata değer katıyor. Hayatın anlamı nedir? İnsan kendini nasıl geliştirir? Umutsuzluk nasıl aşılır? İçimizdeki öz nasıl ortaya çıkar? Çevremiz bizi nasıl etkiler? Kime akıl danışılır? Yaşam neleri ödüllendirir? Zihin nasıl işler? “Biz” olmak için neler yapılmalıdır? Ömür yolculuğunda neyin önemli olduğunu anlamak, keşif ve merak duygularına sahip çıkmak bir hayatı “kıymetli” kılmak için en önemli meziyetler arasında. Elinizdeki rehber niteliğindeki kitap, yaşamı boyunca bu meziyetlerin peşine düşmüş ve her ânına onları ilmek ilmek işlemiş Doğan Cüceloğlu’nun, Deniz Bayramoğlu ile sohbetlerinden oluşuyor ve herkese şu soruyu soruyor: “Zorluklarla başa çıkmaya, içindeki gücü keşfetmeye VAR MISIN?”",978-6057635839,https://m.media-amazon.com/images/I/71dNn1h+idL._SY466_.jpg,2021,320
