id,name,surname,biography,imageLink
1,James,O'brien,"James O'Brien is a well-known British broadcaster and journalist born on January 13, 1972. He gained fame for his work on LBC radio, where he hosted a morning show focusing on current affairs and politics. O'Brien is praised for his incisive interviews and thoughtful commentary, making him a respected figure in media circles. His career showcases a commitment to engaging discussions and challenging perspectives on critical issues.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/James_O%27Brien_at_the_2019_Chiswick_Book_Festival_%28cropped%29.jpg/220px-James_O%27Brien_at_the_2019_Chiswick_Book_Festival_%28cropped%29.jpg
2,Osamu ,Dazai,"Osamu Dazai (b. June 19, 1909 - d. June 13, 1948) was a Japanese writer. He was born in Kanagi, a small town near the center of the Tsugaru Peninsula. His real name was Shuuci Tsushima. Going against the family tradition of becoming a politician, he decided to become a writer. At the age of twenty, he enrolled in the Department of French Literature at the University of Tokyo. For most of his life he was a junkie, tubercular, irritable, quarrelsome and alcoholic, attempting suicide several times. In 1948, Dazai committed suicide by jumping into the water with his mistress. All these years after his death, he is still a popular writer in Japan. Most of his works deal with loneliness. While loneliness is at the forefront, it deals with the human being's search and human existence, introversion, that is, basically human.",https://www.selyayincilik.com/yazarlar/opt/osamu-dazai.jpg
3,Haruki ,Murakami,"In 1978, Haruki Murakami was twenty-nine and running a jazz bar in downtown Tokyo. One April day, the impulse to write a novel came to him suddenly while watching a baseball game. That first novel, Hear the Wind Sing, won a new writers' award and was published the following year. More followed, including A Wild Sheep Chase and Hard-Boiled Wonderland and the End of the World, but it was Norwegian Wood, published in 1987, that turned Murakami from a writer into a phenomenon. In works such as The Wind-Up Bird Chronicle, 1Q84, What I Talk About When I Talk About Running and Men Without Women, Murakami's distinctive blend of the mysterious and the everyday, of melancholy and humour, continues to enchant readers, ensuring his place as one of the world's most acclaimed and well-loved writers.",https://www.livreshebdo.fr/sites/default/files/styles/article_principal/public/2022-11/Haruki%20Murakami%2C%20%22T%22%20%28Belfond%29%20%3A%20T-shirt%20stories0.jpg?itok=QSXKC9LS
4,Carl Gustav ,Jung,"Carl Gustav Jung, Swiss psychiatrist. He is the founder of analytical psychology. He is one of the three great founders of depth psychology, along with Sigmund Freud and Alfred Adler.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/CGJung.jpg/220px-CGJung.jpg
5,Doğan,Cüceloğlu,"Mehmet Doğan Cüceloğlu was a Turkish psychologist and academic.
He was known for his self-help books and television program. Between 1980 and 1996, he worked at California State University in Fullerton, USA; he published more than forty scientific articles. Since the 1990s, he has published books in Turkish that examine the feelings, thoughts and behaviors of Turkish people with the concepts of scientific psychology. His book The Child Within, published in 1992, is one of his most popular books. In 1996, he returned to Turkey and conducted seminars, conferences and workshops for university students, teachers, parents and businessmen.",https://trthaberstatic.cdn.wp.trt.com.tr/resimler/1522000/dogan-cuceloglu-trt-haber-1522433.jpg
6,Jack,London,"John Griffith London, American journalist and novelist. The author of more than fifty books, including The Call of the Wild, Martin Eden, Iron Ox, White Fang and The Sea Wolf, Jack London was the pioneer of the world trade magazine novel and one of the first Americans to earn a high income from writing.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Jack_London_young.jpg/330px-Jack_London_young.jpg
7,George ,Orwell,"Eric Arthur Blair, better known by his pen name George Orwell, was an English novelist, journalist and critic, one of the leading writers of 20th century English literature. He is best known for his world-famous novel Nineteen Eighty-Four and the concept of Big Brother he created in this novel. ",https://images.mubicdn.net/images/cast_member/19064/cache-5277-1699043741/image-w856.jpg
8,Stefan ,Zweig,"Stefan Zweig was an Austro-Hungarian novelist, playwright, biographer and journalist. At the height of his literary career between the 1920s and 1930s, Zweig was one of the most translated and popular writers in the world at the time.",https://www.iskultur.com.tr/webp/2013/12/Stefan-Zweig.jpeg
9,Hermann,Hesse,"One of the 20th century's most important writers. He wrote his first poem at the age of twenty-five. He started freelance writing in 1904 and his novels, short stories, essays, poems, political articles and critical writings on culture have reached more than 100 million readers all over the world. His novels The Steppe Wolf, Siddharta, Peter Camenzind, Peter Camenzind, Demian, Narziss and Goldmund, Between the Wheels and The Bead Game, which include themes such as self-proving, being oneself, self-reflection of the author, and self-transcendence of the individual, are the author's most well-known literary works.",https://cdn.timas.com.tr/katilimci/hermann-hesse-3f4f072e-5c05-e611-bc4e-00155d031a6f.jpg
10,Fyodor,Dostoevsky,"Born Nov. 11, 1821 in Moscow, Russia, Fyodor Dostoyevsky was educated at home until 1833. He studied to be a military engineer, but shortly after graduating decided to become a writer. He experienced traumatic events, including a mock execution and exile",https://www.thoughtco.com/thmb/NjfwE4MiS0_JpDwDIVyQEon_zWg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/GettyImages-961442608-68a9f6aaa0ef455890f2a95b4357941c.jpg
